param : Ot:		fdem		Tout	   Irradiacao_sem_nuvem     tarifa_branca:=
1	0.78	26.90   0.00	0.84
2	0.77	26.73   0.00	0.84
3	0.76	26.55   0.00	0.84
4	0.75	26.38   0.00	0.84
5	0.74	26.20   0.00	0.84
6	0.73	25.95   0.00	0.84
7	0.73	25.70   0.00	0.84
8	0.72	25.45   0.00	0.84
9	0.71	25.20   0.00	0.84
10	0.71	25.05   0.00	0.84
11	0.71	24.90   0.00	0.84
12	0.70	24.75   0.00	0.84
13	0.70	24.60   0.00	0.84
14	0.70	24.48   0.00	0.84
15	0.70	24.35   0.00	0.84
16	0.70	24.23   0.00	0.84
17	0.69	24.10   0.00	0.84
18	0.70	23.85   0.00	0.84
19	0.70	23.60   0.00	0.84
20	0.71	23.35   0.00	0.84
21	0.71	23.10   0.00	0.84
22	0.72	22.75   0.00	0.84
23	0.72	22.40   0.00	0.84
24	0.73	22.05   0.00	0.84
25	0.73	21.70   0.00	0.84
26	0.74	21.60   0.00	0.84
27	0.75	21.50   0.00	0.84
28	0.77	21.40   0.00	0.84
29	0.78	21.30   0.03	0.84
30	0.80	21.38   0.03	0.84
31	0.82	21.45   0.03	0.84
32	0.84	21.53   0.03	0.84
33	0.86	21.60   0.27	0.84
34	0.87	22.53   0.27	0.84
35	0.88	23.45   0.27	0.84
36	0.90	24.38   0.27	0.84
37	0.91	25.30   0.51	0.84
38	0.92	26.25   0.51	0.84
39	0.93	27.20   0.51	0.84
40	0.94	28.15   0.51	0.84
41	0.95	29.10   0.74	0.84
42	0.95	29.53   0.74	0.84
43	0.96	29.95   0.74	0.84
44	0.96	30.38   0.74	0.84
45	0.96	30.80   0.94	0.84
46	0.96	31.38   0.94	0.84
47	0.95	31.95   0.94	0.84
48	0.95	32.53   0.94	0.84
49	0.95	33.10   1.05	0.84
50	0.95	33.58   1.05	0.84
51	0.96	34.05   1.05	0.84
52	0.96	34.53   1.05	0.84
53	0.97	35.00   1.08	0.84
54	0.98	35.25   1.08	0.84
55	0.98	35.50   1.08	0.84
56	0.99	35.75   1.08	0.84
57	1.00	36.00   1.05	0.84
